#############################################################################
#this is the cursedmate level file					    #
#feel free to edit							    #
#									    #
#<lvl><min gold><max gold><min monster><max monster><monster speed>	    #
#############################################################################

0,5,5,1,1,1000
1,10,15,2,3,1000
2,10,20,2,2,500
3,15,20,4,4,1000
4,10,20,3,3,500
5,20,30,5,5,700
6,30,30,3,3,100
7,20,30,4,5,100
8,20,50,7,7,400
9,20,50,5,9,400
10,15,50,3,10,100
11,15,50,4,10,100
12,15,50,5,10,100
13,15,50,6,10,100
14,15,50,7,10,100
15,15,50,8,10,100
16,15,50,9,10,100
17,15,50,10,10,100
18,15,50,1,10,100
19,15,50,1,10,100
20,15,50,1,10,100
